,Ticker,Entry Time,Entry Price,Exit Time,Exit Price
1,BANKNIFTY09JUL2022800PE,08-07-2020 09:29,163.5,08-07-2020 13:15,301
2,BANKNIFTY09JUL2022700CE,09-07-2020 09:29,162.5,09-07-2020 10:34,166.75
3,BANKNIFTY09JUL2022700PE,09-07-2020 09:29,110.55,09-07-2020 10:34,147
4,BANKNIFTY16JUL2022700CE,10-07-2020 09:29,295.1,10-07-2020 15:24,437.55
5,BANKNIFTY16JUL2022700PE,10-07-2020 09:29,555.2,10-07-2020 15:24,403.15
6,BANKNIFTY16JUL2022600CE,13-07-2020 09:29,229.35,13-07-2020 11:11,370.55
7,BANKNIFTY16JUL2022600PE,13-07-2020 09:29,590.85,13-07-2020 11:11,356.5
8,BANKNIFTY16JUL2021800CE,14-07-2020 09:29,224.35,14-07-2020 10:56,314.65
9,BANKNIFTY16JUL2021800PE,14-07-2020 09:29,513.65,14-07-2020 10:56,328.55
10,BANKNIFTY16JUL2021600CE,15-07-2020 09:29,329.25,15-07-2020 12:03,265.65
11,BANKNIFTY16JUL2021600PE,15-07-2020 09:29,173.3,15-07-2020 12:03,298.3
12,BANKNIFTY16JUL2021100CE,16-07-2020 09:29,244.95,16-07-2020 09:48,135.8
13,BANKNIFTY16JUL2021100PE,16-07-2020 09:29,72.6,16-07-2020 09:48,148.95
14,BANKNIFTY23JUL2021700CE,17-07-2020 09:29,582.75,17-07-2020 15:24,447.65
15,BANKNIFTY23JUL2021700PE,17-07-2020 09:29,246.3,17-07-2020 15:24,406.45
16,BANKNIFTY23JUL2022300CE,20-07-2020 09:29,306.65,20-07-2020 13:33,412
17,BANKNIFTY23JUL2022300PE,20-07-2020 09:29,388.3,20-07-2020 13:33,363.3
18,BANKNIFTY23JUL2022600CE,21-07-2020 09:29,388.95,21-07-2020 15:24,346.15
19,BANKNIFTY23JUL2022600PE,21-07-2020 09:29,195.5,21-07-2020 15:24,294
20,BANKNIFTY23JUL2022900CE,22-07-2020 09:29,171.1,22-07-2020 09:36,231.5
21,BANKNIFTY23JUL2022900PE,22-07-2020 09:29,394.15,22-07-2020 09:36,278.75
22,BANKNIFTY23JUL2022800CE,23-07-2020 09:29,132.85,23-07-2020 09:54,169.75
23,BANKNIFTY23JUL2022800PE,23-07-2020 09:29,127.25,23-07-2020 09:54,123
24,BANKNIFTY30JUL2022700CE,24-07-2020 09:29,353.15,24-07-2020 15:24,426.35
25,BANKNIFTY30JUL2022700PE,24-07-2020 09:29,435.05,24-07-2020 15:24,410
26,BANKNIFTY30JUL2022200CE,27-07-2020 09:29,204.7,27-07-2020 15:24,359.85
27,BANKNIFTY30JUL2022200PE,27-07-2020 09:29,550.65,27-07-2020 15:24,360.05
28,BANKNIFTY30JUL2022100CE,28-07-2020 09:29,142.4,28-07-2020 10:16,299.75
29,BANKNIFTY30JUL2022100PE,28-07-2020 09:29,581.8,28-07-2020 10:16,348.45
30,BANKNIFTY30JUL2022300CE,29-07-2020 09:29,214.35,29-07-2020 13:25,240.8
31,BANKNIFTY30JUL2022300PE,29-07-2020 09:29,207.3,29-07-2020 13:25,233
32,BANKNIFTY30JUL2022200CE,30-07-2020 09:29,118.1,30-07-2020 10:33,125
33,BANKNIFTY30JUL2022200PE,30-07-2020 09:29,110.7,30-07-2020 10:33,132.2
34,BANKNIFTY06AUG2021600CE,31-07-2020 09:29,434.25,31-07-2020 15:03,445
35,BANKNIFTY06AUG2021600PE,31-07-2020 09:29,345.7,31-07-2020 15:03,422.4
36,BANKNIFTY06AUG2021400CE,03-08-2020 09:29,236.95,03-08-2020 15:24,337
37,BANKNIFTY06AUG2021400PE,03-08-2020 09:29,463.15,03-08-2020 15:24,380.35
38,BANKNIFTY06AUG2021200CE,04-08-2020 09:29,456,04-08-2020 15:24,297.4
39,BANKNIFTY06AUG2021200PE,04-08-2020 09:29,127.9,04-08-2020 15:24,326.15
40,BANKNIFTY06AUG2021800CE,05-08-2020 09:29,323.7,05-08-2020 09:53,191.45
41,BANKNIFTY06AUG2021800PE,05-08-2020 09:29,165.35,05-08-2020 09:53,244.5
42,BANKNIFTY06AUG2021600CE,06-08-2020 09:29,144.6,06-08-2020 11:47,178.15
43,BANKNIFTY06AUG2021600PE,06-08-2020 09:29,257.05,06-08-2020 11:47,186.7
44,BANKNIFTY13AUG2021500CE,07-08-2020 09:29,481.05,07-08-2020 15:24,369.25
45,BANKNIFTY13AUG2021500PE,07-08-2020 09:29,224.65,07-08-2020 15:24,397.4
46,BANKNIFTY13AUG2022000CE,10-08-2020 09:29,287.5,10-08-2020 15:24,325.95
47,BANKNIFTY13AUG2022000PE,10-08-2020 09:29,317.35,10-08-2020 15:24,309.95
48,BANKNIFTY13AUG2022200CE,11-08-2020 09:29,209.9,11-08-2020 13:57,268
49,BANKNIFTY13AUG2022200PE,11-08-2020 09:29,252,11-08-2020 13:57,247.95
50,BANKNIFTY13AUG2022100CE,12-08-2020 09:29,335.4,12-08-2020 12:55,189.1
51,BANKNIFTY13AUG2022100PE,12-08-2020 09:29,88.9,12-08-2020 12:55,196.4
52,BANKNIFTY13AUG2022400CE,13-08-2020 09:29,98.45,13-08-2020 10:34,106.6
53,BANKNIFTY13AUG2022400PE,13-08-2020 09:29,98.4,13-08-2020 10:34,112.6
54,BANKNIFTY20AUG2022200CE,14-08-2020 09:29,202.3,14-08-2020 13:47,334
55,BANKNIFTY20AUG2022200PE,14-08-2020 09:29,498.85,14-08-2020 13:47,285.65
56,BANKNIFTY20AUG2021800CE,17-08-2020 09:29,230.2,17-08-2020 09:40,259.7
57,BANKNIFTY20AUG2021800PE,17-08-2020 09:29,458,17-08-2020 09:40,311
58,BANKNIFTY20AUG2021800CE,18-08-2020 09:29,457,18-08-2020 14:48,235.65
59,BANKNIFTY20AUG2021800PE,18-08-2020 09:29,94.85,18-08-2020 14:48,262.05
60,BANKNIFTY20AUG2022400CE,19-08-2020 09:29,148.3,19-08-2020 14:21,158.65
61,BANKNIFTY20AUG2022400PE,19-08-2020 09:29,176,19-08-2020 14:21,201.75
62,BANKNIFTY20AUG2022000CE,20-08-2020 09:29,108.75,20-08-2020 10:36,97.85
63,BANKNIFTY20AUG2022000PE,20-08-2020 09:29,79.7,20-08-2020 10:36,113.05
64,BANKNIFTY27AUG2022200CE,21-08-2020 09:29,331.1,21-08-2020 15:24,320.25
65,BANKNIFTY27AUG2022200PE,21-08-2020 09:29,232.4,21-08-2020 15:24,282.15
66,BANKNIFTY27AUG2022600CE,24-08-2020 09:29,346.75,24-08-2020 11:55,227.7
67,BANKNIFTY27AUG2022600PE,24-08-2020 09:29,200.7,24-08-2020 11:55,254
68,BANKNIFTY27AUG2023100CE,25-08-2020 09:29,186.35,25-08-2020 13:17,214.2
69,BANKNIFTY27AUG2023100PE,25-08-2020 09:29,218.85,25-08-2020 13:17,243.2
70,BANKNIFTY27AUG2023200CE,26-08-2020 09:29,178.85,26-08-2020 13:02,197.9
71,BANKNIFTY27AUG2023200PE,26-08-2020 09:29,165.25,26-08-2020 13:02,186
72,BANKNIFTY27AUG2023600CE,27-08-2020 09:29,95.55,27-08-2020 10:02,117.3
73,BANKNIFTY27AUG2023600PE,27-08-2020 09:29,89.4,27-08-2020 10:02,88.85
74,BANKNIFTY03SEP2023800CE,28-08-2020 09:29,529.6,28-08-2020 10:31,333.35
75,BANKNIFTY03SEP2023800PE,28-08-2020 09:29,264.2,28-08-2020 10:31,310.05
76,BANKNIFTY03SEP2024900CE,31-08-2020 09:29,275.8,31-08-2020 10:27,421.55
77,BANKNIFTY03SEP2024900PE,31-08-2020 09:29,513.3,31-08-2020 10:27,458.2
78,BANKNIFTY03SEP2024100CE,01-09-2020 09:29,288.5,01-09-2020 09:57,440.7
79,BANKNIFTY03SEP2024100PE,01-09-2020 09:29,703.8,01-09-2020 09:57,450.1
80,BANKNIFTY03SEP2023700CE,02-09-2020 09:29,238,02-09-2020 10:46,311
81,BANKNIFTY03SEP2023700PE,02-09-2020 09:29,302.25,02-09-2020 10:46,290.25
82,BANKNIFTY03SEP2023900CE,03-09-2020 09:29,52.75,03-09-2020 11:22,96.7
83,BANKNIFTY03SEP2023900PE,03-09-2020 09:29,157.2,03-09-2020 11:22,140
84,BANKNIFTY10SEP2023000CE,04-09-2020 09:29,514,04-09-2020 12:28,441.45
85,BANKNIFTY10SEP2023000PE,04-09-2020 09:29,318,04-09-2020 12:28,488.4
86,BANKNIFTY10SEP2022900CE,07-09-2020 09:29,356.65,07-09-2020 12:48,382.9
87,BANKNIFTY10SEP2022900PE,07-09-2020 09:29,310.05,07-09-2020 12:48,360.5
88,BANKNIFTY10SEP2022900CE,08-09-2020 09:29,337.55,08-09-2020 12:53,305.8
89,BANKNIFTY10SEP2022900PE,08-09-2020 09:29,207.8,08-09-2020 12:53,300.2
90,BANKNIFTY10SEP2022500CE,09-09-2020 09:29,154.95,09-09-2020 09:56,213.45
91,BANKNIFTY10SEP2022500PE,09-09-2020 09:29,302,09-09-2020 09:56,201.9
92,BANKNIFTY10SEP2022500CE,10-09-2020 09:29,162.3,10-09-2020 10:56,95.6
93,BANKNIFTY10SEP2022500PE,10-09-2020 09:29,43.25,10-09-2020 10:56,90.1
94,BANKNIFTY17SEP2022600CE,11-09-2020 09:29,278.45,11-09-2020 09:42,333.95
95,BANKNIFTY17SEP2022600PE,11-09-2020 09:29,460.65,11-09-2020 09:42,337.95
96,BANKNIFTY17SEP2022800CE,14-09-2020 09:29,178.25,14-09-2020 13:16,261.6
97,BANKNIFTY17SEP2022800PE,14-09-2020 09:29,494.9,14-09-2020 13:16,326.1
98,BANKNIFTY17SEP2022200CE,15-09-2020 09:29,456.95,15-09-2020 15:24,298.6
99,BANKNIFTY17SEP2022200PE,15-09-2020 09:29,120.75,15-09-2020 15:24,316.85
100,BANKNIFTY17SEP2022500CE,16-09-2020 09:29,138,16-09-2020 11:47,196.15
101,BANKNIFTY17SEP2022500PE,16-09-2020 09:29,334.9,16-09-2020 11:47,233.5
102,BANKNIFTY17SEP2022400CE,17-09-2020 09:29,100,17-09-2020 10:21,87.15
103,BANKNIFTY17SEP2022400PE,17-09-2020 09:29,100.5,17-09-2020 10:21,138.15
104,BANKNIFTY24SEP2022400CE,18-09-2020 09:29,244.3,18-09-2020 14:22,373.9
105,BANKNIFTY24SEP2022400PE,18-09-2020 09:29,586,18-09-2020 14:22,343.85
106,BANKNIFTY24SEP2022000CE,21-09-2020 09:29,186.95,21-09-2020 14:04,310.95
107,BANKNIFTY24SEP2022000PE,21-09-2020 09:29,518.15,21-09-2020 14:04,325.95
108,BANKNIFTY24SEP2021300CE,22-09-2020 09:29,318,22-09-2020 13:27,299.4
109,BANKNIFTY24SEP2021300PE,22-09-2020 09:29,251.05,22-09-2020 13:27,334.5
110,BANKNIFTY24SEP2021300CE,23-09-2020 09:29,179.25,23-09-2020 10:57,183.9
111,BANKNIFTY24SEP2021300PE,23-09-2020 09:29,194.2,23-09-2020 10:57,235
112,BANKNIFTY24SEP2020900CE,24-09-2020 09:29,106.2,24-09-2020 09:58,99.3
113,BANKNIFTY24SEP2020900PE,24-09-2020 09:29,109.45,24-09-2020 09:58,142.8
114,BANKNIFTY01OCT2020600CE,25-09-2020 09:29,564,25-09-2020 15:24,380.5
115,BANKNIFTY01OCT2020600PE,25-09-2020 09:29,217.7,25-09-2020 15:24,444.3
116,BANKNIFTY27AUG2023600CE,27-08-2020 09:29,95.55,27-08-2020 10:02,117.3
117,BANKNIFTY27AUG2023600PE,27-08-2020 09:29,89.4,27-08-2020 10:02,88.85
118,BANKNIFTY01OCT2021200CE,28-09-2020 09:29,440.55,28-09-2020 09:40,312.85
119,BANKNIFTY01OCT2021200PE,28-09-2020 09:29,273.8,28-09-2020 09:40,328.7
120,BANKNIFTY01OCT2021700CE,29-09-2020 09:29,145,29-09-2020 14:16,267.8
121,BANKNIFTY01OCT2021700PE,29-09-2020 09:29,316.35,29-09-2020 14:16,272.35
122,BANKNIFTY01OCT2021200CE,30-09-2020 09:29,330.85,30-09-2020 10:57,183.1
123,BANKNIFTY01OCT2021200PE,30-09-2020 09:29,87.35,30-09-2020 10:57,193.8
124,BANKNIFTY03SEP2024900CE,31-08-2020 09:29,275.8,31-08-2020 10:27,421.55
125,BANKNIFTY03SEP2024900PE,31-08-2020 09:29,513.3,31-08-2020 10:27,458.2
126,BANKNIFTY01OCT2021900CE,01-10-2020 09:29,110.35,01-10-2020 10:01,114.55
127,BANKNIFTY01OCT2021900PE,01-10-2020 09:29,87.05,01-10-2020 10:01,118.65
128,BANKNIFTY08OCT2022600CE,05-10-2020 09:29,337.95,05-10-2020 12:04,373.1
129,BANKNIFTY08OCT2022600PE,05-10-2020 09:29,325.3,05-10-2020 12:04,363.9
130,BANKNIFTY08OCT2022700CE,06-10-2020 09:29,260.2,06-10-2020 12:22,250.85
131,BANKNIFTY08OCT2022700PE,06-10-2020 09:29,245,06-10-2020 12:22,312.9
132,BANKNIFTY08OCT2022700CE,07-10-2020 09:29,373.85,07-10-2020 09:54,187.1
133,BANKNIFTY08OCT2022700PE,07-10-2020 09:29,122.3,07-10-2020 09:54,237.9
134,BANKNIFTY08OCT2023200CE,08-10-2020 09:29,138.9,08-10-2020 10:16,119.6
135,BANKNIFTY08OCT2023200PE,08-10-2020 09:29,91.4,08-10-2020 10:16,136.4
136,BANKNIFTY15OCT2023300CE,09-10-2020 09:29,670.5,09-10-2020 11:07,413.65
137,BANKNIFTY15OCT2023300PE,09-10-2020 09:29,248.4,09-10-2020 11:07,411.35
138,BANKNIFTY15OCT2024200CE,12-10-2020 09:29,249.55,12-10-2020 12:05,366.7
139,BANKNIFTY15OCT2024200PE,12-10-2020 09:29,623.75,12-10-2020 12:05,424.9
140,BANKNIFTY15OCT2023500CE,13-10-2020 09:29,325,13-10-2020 13:57,352.4
141,BANKNIFTY15OCT2023500PE,13-10-2020 09:29,284.35,13-10-2020 13:57,326.7
142,BANKNIFTY15OCT2023300CE,14-10-2020 09:29,209.05,14-10-2020 11:41,264.35
143,BANKNIFTY15OCT2023300PE,14-10-2020 09:29,270.2,14-10-2020 11:41,270.05
144,BANKNIFTY15OCT2023700CE,15-10-2020 09:29,222.65,15-10-2020 09:39,117.8
145,BANKNIFTY15OCT2023700PE,15-10-2020 09:29,64.3,15-10-2020 09:39,138.95
146,BANKNIFTY22OCT2023300CE,16-10-2020 09:29,516.55,16-10-2020 15:24,421.6
147,BANKNIFTY22OCT2023300PE,16-10-2020 09:29,309.8,16-10-2020 15:24,447.05
148,BANKNIFTY22OCT2023900CE,19-10-2020 09:29,592.4,19-10-2020 15:24,343.45
149,BANKNIFTY22OCT2023900PE,19-10-2020 09:29,179.55,19-10-2020 15:24,387.4
150,BANKNIFTY22OCT2024200CE,20-10-2020 09:29,332.7,20-10-2020 13:03,331.5
151,BANKNIFTY22OCT2024200PE,20-10-2020 09:29,282.6,20-10-2020 13:03,354.35
152,BANKNIFTY22OCT2024700CE,21-10-2020 09:29,278.05,21-10-2020 12:14,268.25
153,BANKNIFTY22OCT2024700PE,21-10-2020 09:29,183.6,21-10-2020 12:14,244.75
154,BANKNIFTY22OCT2024500CE,22-10-2020 09:29,160.4,22-10-2020 10:11,199.6
155,BANKNIFTY22OCT2024500PE,22-10-2020 09:29,181.65,22-10-2020 10:11,185.9
156,BANKNIFTY29OCT2024700CE,23-10-2020 09:29,328.2,23-10-2020 15:24,455
157,BANKNIFTY29OCT2024700PE,23-10-2020 09:29,502.05,23-10-2020 15:24,447.05
158,BANKNIFTY29OCT2024400CE,26-10-2020 09:29,199.95,26-10-2020 13:01,394.55
159,BANKNIFTY29OCT2024400PE,26-10-2020 09:29,679.35,26-10-2020 13:01,401.9
160,BANKNIFTY29OCT2023900CE,27-10-2020 09:29,589.05,27-10-2020 09:48,368.3
161,BANKNIFTY29OCT2023900PE,27-10-2020 09:29,190.8,27-10-2020 09:48,332.85
162,BANKNIFTY29OCT2024800CE,28-10-2020 09:29,141.75,28-10-2020 10:04,275.55
163,BANKNIFTY29OCT2024800PE,28-10-2020 09:29,489.4,28-10-2020 10:04,297.95
164,BANKNIFTY29OCT2024000CE,29-10-2020 09:29,204.3,29-10-2020 10:20,196.6
165,BANKNIFTY29OCT2024000PE,29-10-2020 09:29,127.75,29-10-2020 10:20,188.15
166,BANKNIFTY05NOV2024100CE,30-10-2020 09:29,408.5,30-10-2020 14:43,582.8
167,BANKNIFTY05NOV2024100PE,30-10-2020 09:29,611,30-10-2020 14:43,559.55
168,BANKNIFTY05NOV2024200CE,02-11-2020 09:29,697.55,02-11-2020 11:19,442.65
169,BANKNIFTY05NOV2024200PE,02-11-2020 09:29,321.1,02-11-2020 11:19,479.65
170,BANKNIFTY05NOV2025400CE,03-11-2020 09:29,442.95,03-11-2020 14:31,468.25
171,BANKNIFTY05NOV2025400PE,03-11-2020 09:29,414.25,03-11-2020 14:31,485.65
172,BANKNIFTY05NOV2025500CE,04-11-2020 09:29,316.65,04-11-2020 10:36,377
173,BANKNIFTY05NOV2025500PE,04-11-2020 09:29,406.2,04-11-2020 10:36,429
174,BANKNIFTY05NOV2026100CE,05-11-2020 09:29,165.25,05-11-2020 10:06,170.65
175,BANKNIFTY05NOV2026100PE,05-11-2020 09:29,129.45,05-11-2020 10:06,158.25
176,BANKNIFTY12NOV2026200CE,06-11-2020 09:29,658.85,06-11-2020 12:42,446.6
177,BANKNIFTY12NOV2026200PE,06-11-2020 09:29,314.65,06-11-2020 12:42,437.1
178,BANKNIFTY12NOV2027300CE,09-11-2020 09:29,482.05,09-11-2020 15:24,389.1
179,BANKNIFTY12NOV2027300PE,09-11-2020 09:29,262.5,09-11-2020 15:24,422.85
180,BANKNIFTY12NOV2027900CE,10-11-2020 09:29,514.15,10-11-2020 09:51,357.9
181,BANKNIFTY12NOV2027900PE,10-11-2020 09:29,271.4,10-11-2020 09:51,341.95
182,BANKNIFTY12NOV2028900CE,11-11-2020 09:29,327.6,11-11-2020 10:50,332.25
183,BANKNIFTY12NOV2028900PE,11-11-2020 09:29,300.4,11-11-2020 10:50,376.2
184,BANKNIFTY12NOV2028500CE,12-11-2020 09:29,129.55,12-11-2020 12:30,181.8
185,BANKNIFTY12NOV2028500PE,12-11-2020 09:29,172.05,12-11-2020 12:30,179
186,BANKNIFTY19NOV2027800CE,13-11-2020 09:29,857.55,13-11-2020 15:24,483.85
187,BANKNIFTY19NOV2027800PE,13-11-2020 09:29,171.7,13-11-2020 15:24,489.6
188,BANKNIFTY19NOV2028900CE,17-11-2020 09:29,341.25,17-11-2020 11:43,339.7
189,BANKNIFTY19NOV2028900PE,17-11-2020 09:29,318.5,17-11-2020 11:43,396.4
190,BANKNIFTY19NOV2029300CE,18-11-2020 09:29,298.75,18-11-2020 12:21,295.15
191,BANKNIFTY19NOV2029300PE,18-11-2020 09:29,199,18-11-2020 12:21,259.55
192,BANKNIFTY19NOV2029400CE,19-11-2020 09:29,237.3,19-11-2020 09:42,160.1
193,BANKNIFTY19NOV2029400PE,19-11-2020 09:29,80.2,19-11-2020 09:42,125.55
194,BANKNIFTY26NOV2028800CE,20-11-2020 09:29,656.75,20-11-2020 15:24,501.8
195,BANKNIFTY26NOV2028800PE,20-11-2020 09:29,280,20-11-2020 15:24,480.45
196,BANKNIFTY26NOV2029400CE,23-11-2020 09:29,288.25,23-11-2020 09:57,408.85
197,BANKNIFTY26NOV2029400PE,23-11-2020 09:29,699.2,23-11-2020 09:57,451.15
198,BANKNIFTY26NOV2029300CE,24-11-2020 09:29,610.8,24-11-2020 15:24,399.55
199,BANKNIFTY26NOV2029300PE,24-11-2020 09:29,146.6,24-11-2020 15:24,352.5
200,BANKNIFTY26NOV2030100CE,25-11-2020 09:29,225.2,25-11-2020 10:43,300.1
201,BANKNIFTY26NOV2030100PE,25-11-2020 09:29,429.55,25-11-2020 10:43,293.55
202,BANKNIFTY26NOV2029200CE,26-11-2020 09:29,153.8,26-11-2020 10:51,187.95
203,BANKNIFTY26NOV2029200PE,26-11-2020 09:29,175.2,26-11-2020 10:51,179.3
204,BANKNIFTY03DEC2029500CE,27-11-2020 09:29,483.3,27-11-2020 14:09,500.7
205,BANKNIFTY03DEC2029500PE,27-11-2020 09:29,390.5,27-11-2020 14:09,472.1
206,BANKNIFTY03DEC2029600CE,01-12-2020 09:29,459.2,01-12-2020 13:08,408.45
207,BANKNIFTY03DEC2029600PE,01-12-2020 09:29,284.1,01-12-2020 13:08,428.75
208,BANKNIFTY03DEC2029800CE,02-12-2020 09:29,232.55,02-12-2020 11:22,278.65
209,BANKNIFTY03DEC2029800PE,02-12-2020 09:29,342.5,02-12-2020 11:22,360.55
210,BANKNIFTY03DEC2029600CE,03-12-2020 09:29,198.6,03-12-2020 11:19,146.7
211,BANKNIFTY03DEC2029600PE,03-12-2020 09:29,111.6,03-12-2020 11:19,198.3
212,BANKNIFTY10DEC2029600CE,04-12-2020 09:29,364.85,04-12-2020 12:56,441.25
213,BANKNIFTY10DEC2029600PE,04-12-2020 09:29,442.75,04-12-2020 12:56,459.95
214,BANKNIFTY10DEC2030000CE,07-12-2020 09:29,456.05,07-12-2020 15:24,366.2
215,BANKNIFTY10DEC2030000PE,07-12-2020 09:29,253.85,07-12-2020 15:24,389.1
216,BANKNIFTY10DEC2030300CE,08-12-2020 09:29,299.5,08-12-2020 12:57,289.3
217,BANKNIFTY10DEC2030300PE,08-12-2020 09:29,317.35,08-12-2020 12:57,404.35
218,BANKNIFTY10DEC2030400CE,09-12-2020 09:29,244,09-12-2020 11:37,229
219,BANKNIFTY10DEC2030400PE,09-12-2020 09:29,213.05,09-12-2020 11:37,279
220,BANKNIFTY10DEC2030600CE,10-12-2020 09:29,84.9,10-12-2020 09:41,104.6
221,BANKNIFTY10DEC2030600PE,10-12-2020 09:29,253.7,10-12-2020 09:41,202
222,BANKNIFTY17DEC2030800CE,11-12-2020 09:29,297.45,11-12-2020 15:24,371.05
223,BANKNIFTY17DEC2030800PE,11-12-2020 09:29,488.5,11-12-2020 15:24,455.75
224,BANKNIFTY17DEC2030800CE,14-12-2020 09:29,310.5,14-12-2020 15:24,343.6
225,BANKNIFTY17DEC2030800PE,14-12-2020 09:29,342,14-12-2020 15:24,371.35
226,BANKNIFTY17DEC2030600CE,15-12-2020 09:29,266.35,15-12-2020 13:08,332.15
227,BANKNIFTY17DEC2030600PE,15-12-2020 09:29,297.55,15-12-2020 13:08,300.95
228,BANKNIFTY17DEC2030800CE,16-12-2020 09:29,187,16-12-2020 13:25,240.45
229,BANKNIFTY17DEC2030800PE,16-12-2020 09:29,226.75,16-12-2020 13:25,220.45
230,BANKNIFTY17DEC2030700CE,17-12-2020 09:29,162,17-12-2020 11:27,111.1
231,BANKNIFTY17DEC2030700PE,17-12-2020 09:29,88.1,17-12-2020 11:27,168.65
232,BANKNIFTY24DEC2030700CE,18-12-2020 09:29,293.7,18-12-2020 09:59,373.95
233,BANKNIFTY24DEC2030700PE,18-12-2020 09:29,540.45,18-12-2020 09:59,379.8
234,BANKNIFTY24DEC2030300CE,21-12-2020 09:29,255.1,21-12-2020 13:37,347.05
235,BANKNIFTY24DEC2030300PE,21-12-2020 09:29,498.35,21-12-2020 13:37,309.05
236,BANKNIFTY24DEC2029400CE,22-12-2020 09:29,310.5,22-12-2020 12:46,387.05
237,BANKNIFTY24DEC2029400PE,22-12-2020 09:29,359.65,22-12-2020 12:46,365.95
238,BANKNIFTY24DEC2029600CE,23-12-2020 09:29,306.85,23-12-2020 14:13,218.15
239,BANKNIFTY24DEC2029600PE,23-12-2020 09:29,101.55,23-12-2020 14:13,238
240,BANKNIFTY24DEC2030200CE,24-12-2020 09:29,254.1,24-12-2020 10:15,139.45
241,BANKNIFTY24DEC2030200PE,24-12-2020 09:29,56.8,24-12-2020 10:15,139.7
242,BANKNIFTY31DEC2030800CE,28-12-2020 09:29,348.15,28-12-2020 13:43,328.8
243,BANKNIFTY31DEC2030800PE,28-12-2020 09:29,252.2,28-12-2020 13:43,339.75
244,BANKNIFTY31DEC2031300CE,29-12-2020 09:29,274.75,29-12-2020 13:10,272.15
245,BANKNIFTY31DEC2031300PE,29-12-2020 09:29,216.65,29-12-2020 13:10,274.6
246,BANKNIFTY31DEC2031200CE,30-12-2020 09:29,248.25,30-12-2020 10:24,283.9
247,BANKNIFTY31DEC2031200PE,30-12-2020 09:29,221.7,30-12-2020 10:24,240.1
248,BANKNIFTY31DEC2031300CE,31-12-2020 09:29,161.8,31-12-2020 10:37,173.85
249,BANKNIFTY31DEC2031300PE,31-12-2020 09:29,105.05,31-12-2020 10:37,124
